Year,Total CO2 Emissions
1990,6183
1991,6183
1992,6183
1993,6183
1994,6183
1995,6183
1996,2969
1997,2398
1998,2495
1999,4650
2000,2799
2001,1970
2002,1167
2003,5053
2004,7728
2005,4489
2006,5474
2007,7531
2008,5043
2009,14301
2010,12271
2011,5528
2012,12785
2013,7645
2014,6900
2015,4839
2016,6477
2017,9158
2018,7144
2019,4362
2020,2462
