Year,Total CO2 Emissions
1990,3399
1991,3399
1992,3399
1993,3399
1994,3399
1995,3399
1996,5011
1997,2330
1998,4358
1999,4970
2000,5110
2001,1037
2002,2586
2003,2412
2004,2873
2005,3321
2006,2835
2007,3529
2008,3228
2009,2427
2010,1653
2011,3530
2012,2789
2013,2097
2014,2283
2015,3757
2016,2653
2017,4416
2018,4000
2019,2178
2020,7436
