Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Congo, Dem. Rep. of the",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.00,307.00,"1,758.00","12,840.00","34,582.00","44,287.00","229,768.00","1,317,075.00","2,231,455.00","3,025,871.00","3,623,250.00","4,113,633.00","5,670,065.00","6,767,520.00","8,648,879.00","11,067,569.00","15,101,188.00","19,536,677.00","23,759,425.00","26,954,557.00","30,051,179.00","33,223,988.00","35,111,226.00","37,517,392.00","55,676,093.00","76,495,500.00","83,048,340.00","90,181,048.00","112,549,821.00",...
"Congo, Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,...,"64,812.60","70,384.68","79,051.53","83,349.84","87,635.19","94,624.93","99,603.03","104,912.49","115,333.48","133,139.41","146,222.19","177,580.29","201,633.80","215,934.45","226,217.04","251,733.08","322,519.60","457,494.21","482,358.35","508,573.82","536,214.06","565,356.51","596,082.81","628,479.04","662,635.96","698,649.26","790,558.83","792,040.00","856,262.93","868,307.50","850,510.65","1,148,313.26","1,226,473.27","1,452,993.06","1,498,784.52","1,321,287.53","1,627,098.91","2,580,266.48","2,226,897.31","2,320,858.30","2,240,806.97","2,690,990.12","3,506,269.00","4,217,179.00","4,203,698.00","5,195,837.00","4,572,804.99","6,505,751.32","7,377,577.60","9,033,228.00","8,869,805.40","8,844,629.47","7,029,660.32","6,056,038.87","6,442,284.25","7,592,974.20","7,563,880.34","6,036,201.52","6,723,397.28","7,798,683.36"
Costa Rica,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"881,040.10","1,151,917.90","1,362,412.40","1,647,124.70","2,079,862.90","2,425,725.60","2,934,156.50","3,519,453.80","4,072,330.20","4,627,050.50","5,254,084.50","5,965,391.30","6,885,560.00","8,150,137.80","9,577,022.20","11,613,320.00","13,889,052.90","16,208,974.70","17,626,147.70","19,802,010.60","21,623,524.60","23,752,868.60","25,462,954.60","28,001,327.60","30,171,918.90","32,056,288.20","34,343,647.50","36,014,718.70","37,832,149.80","36,495,246.10","40,112,924.80","44,251,689.70"
Côte d'Ivoire,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,932,004.00","3,125,295.00","3,391,104.00","3,548,543.00","4,056,801.00","4,254,465.00","4,389,512.00","4,190,604.00","4,197,239.00","4,302,567.00","4,063,021.00","4,091,634.00","4,080,576.00","4,323,365.00","6,380,144.00","7,589,595.00","8,583,648.00","9,457,307.00","10,284,785.00","10,533,309.00","10,547,104.00","11,340,960.00","11,895,360.00","12,296,973.00","12,088,606.00","12,456,698.00","12,866,062.00","13,477,194.00","14,994,944.00","15,845,677.00","17,036,122.00","16,743,030.00","18,905,775.00","21,350,243.00","24,135,859.00","27,086,150.00","28,423,874.00","29,955,010.00","32,222,266.00","34,298,893.00","35,311,383.00","38,841,109.00",...
"Croatia, Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"15,720.19","17,313.18","19,647.84","21,732.15","22,303.14","23,958.88","25,750.96","28,297.38","31,166.96","33,648.35","36,191.37","39,449.38","43,176.84","46,467.32","44,409.41","44,273.12","44,972.55","44,545.42","44,697.17","44,572.39","45,733.66","47,331.19","49,516.17","51,932.98","54,783.98","50,477.05","58,243.74","66,942.56"
Cyprus,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"7,678.31","7,979.50","8,373.44","9,059.78","9,731.56","10,594.98","11,416.89","11,877.04","12,845.29","13,856.44","14,822.31","16,000.02","17,511.58","19,009.58","18,675.49","19,461.13","19,858.08","19,495.37","18,040.35","17,482.80","17,944.15","19,013.82","20,312.44","21,675.10","23,177.86","22,086.57","24,927.63","27,777.00"
Czech Rep.,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,596,306.00","1,829,255.00","1,971,024.00","2,156,624.00","2,252,983.00","2,386,289.00","2,579,126.00","2,690,982.00","2,823,452.00","3,079,207.00","3,285,601.00","3,530,881.00","3,859,533.00","4,042,860.00","3,954,320.00","3,992,870.00","4,062,323.00","4,088,912.00","4,142,811.00","4,345,766.00","4,625,378.00","4,796,873.00","5,110,743.00","5,410,761.00","5,791,498.00","5,709,131.00","6,108,717.00","6,785,852.00"
Denmark,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"82,414.20","90,845.93","101,291.80","115,611.77","128,065.93","141,736.37","161,448.78","185,904.93","208,204.50","232,574.03","269,461.27","298,865.34","332,877.42","370,196.80","400,867.64","440,780.42","503,383.99","554,596.53","612,129.30","663,955.25","712,645.25","748,427.48","777,843.99","821,733.90","855,557.15","890,550.72","923,014.18","928,466.13","993,286.48","1,036,482.55","1,088,023.69","1,146,129.39","1,185,987.56","1,241,520.75","1,326,911.50","1,371,526.22","1,410,271.03","1,436,751.24","1,506,000.80","1,585,984.17","1,682,260.21","1,738,845.30","1,801,469.91","1,722,142.51","1,810,925.60","1,846,853.61","1,895,002.25","1,929,677.03","1,981,164.99","2,036,356.22","2,107,808.22","2,192,960.00","2,253,316.25","2,310,954.84","2,320,911.90","2,550,606.33","2,831,643.86"
Djibouti,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"115,351.00","119,251.00","116,255.00","122,651.00","124,157.00","123,229.00","125,392.00","128,283.00","134,858.00","138,669.00","144,056.00","148,715.00","156,543.00","166,185.00","176,813.00","191,820.00","211,463.00","245,351.00","253,192.00","274,115.00","309,036.00","337,662.00","363,052.00","393,595.00","430,865.00","462,955.00","490,969.00","517,784.00","548,954.00","565,343.00","599,329.00",...
Dominica,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,333.33","1,352.77","1,312.19","1,345.40","1,405.16","1,459.99","1,555.82","1,408.19","1,497.88","1,651.15","1,361.38","1,496.29",...
Dominican Rep.,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"123,551.91","145,067.28","163,513.03","184,769.39","214,122.96","235,250.33","280,362.82","318,648.99","350,520.12","393,302.97","427,319.07","477,430.19","628,611.04","935,984.73","1,083,445.00","1,261,399.67","1,458,416.52","1,661,642.68","1,736,041.06","1,983,201.68","2,210,213.93","2,386,016.25","2,619,769.70","2,925,665.10","3,205,655.14","3,487,292.51","3,802,655.77","4,235,846.77","4,562,235.08","4,456,657.38","5,392,714.10","6,260,564.02"
Ecuador,483.00,517.40,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"51,007.78","61,762.64","62,519.69","69,555.37","79,276.66","87,924.54","95,129.66","101,726.33","99,290.38","99,937.70","104,295.86","107,562.01","108,108.01","99,291.12","106,165.87","115,049.48"
"Egypt, Arab Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,"1,726.89","1,841.21","1,967.13","2,324.12","2,831.07","2,987.01","3,000.11","3,270.97","3,458.13","3,740.11","3,965.62","4,080.44","4,754.22","5,962.62","7,050.15","8,632.62","10,290.79","13,159.22","16,466.10","18,032.10","21,335.00","26,077.70","29,321.70","34,188.70","37,853.10","54,151.00","64,770.90","80,753.30","101,046.80","116,924.10","146,260.30","165,169.00","184,008.30","214,501.00","241,208.50","270,439.60","302,194.10","323,433.90","357,606.90","377,164.30","398,404.20","438,991.10","510,281.20","566,219.70","649,496.60","783,139.10","941,596.50","1,095,848.00","1,268,710.60","1,441,678.40","1,674,700.00","1,860,400.00","2,130,000.00","2,443,900.00","2,709,400.00","3,470,000.00","4,437,400.00","5,322,100.00","6,347,800.00","7,226,500.00",...
El Salvador,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"11,784.93","12,282.53","12,664.19","13,243.89","13,724.81","14,698.00","15,999.89","17,011.75","17,986.89","17,601.62","18,447.92","20,283.78","21,386.15","21,990.96","22,593.47","23,438.24","24,191.43","24,979.19","26,020.85","26,881.14","24,930.09","29,451.25","32,488.72"
"Equatorial Guinea, Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"5,274,146.00","6,264,840.82","8,844,107.00","7,095,919.00","8,072,293.00","10,064,618.86","11,430,511.00","10,840,521.00","10,746,852.00","7,795,420.00","6,661,366.00","7,084,543.00","7,274,689.00","6,689,508.71","5,768,440.00","6,174,843.00",...
"Eritrea, The State of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,696.00","1,956.00","2,670.00","3,052.00","3,683.00","4,138.00","4,611.00","5,008.00","5,262.00","6,585.00","7,878.00","9,347.00","11,834.00","13,064.00","14,411.00","15,682.00","14,186.00","19,936.00","24,439.00","31,749.00","34,669.00","30,104.00","40,040.00","30,953.00","33,366.00","28,702.00","30,235.00","29,876.00","31,841.00","33,178.00",...
"Estonia, Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,861.64","3,679.97","4,573.00","5,100.43","5,406.89","6,171.64","6,987.07","7,822.58","8,744.43","9,777.46","11,343.27","13,568.93","16,401.33","16,618.06","14,131.86","14,741.10","16,677.26","17,916.68","18,910.78","20,048.23","20,631.36","21,747.91","23,833.61","25,932.18","27,951.02","27,429.98","31,168.97","36,011.14"
"Eswatini, Kingdom of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"11,630.00","13,465.95","13,830.65","16,325.03","17,444.58","18,572.73","23,654.71","26,511.34","27,449.71","30,649.92","31,461.98","34,897.13","38,868.43","42,559.59","48,435.80","53,619.64","57,167.46","60,325.47","60,579.18","66,145.33","67,962.81","68,941.43",...
"Ethiopia, The Federal Dem. Rep. of",...,...,...,...,...,...,...,...,...,...,...,"4,377.91","4,557.78","4,779.01","5,264.65","5,860.00","6,084.83","6,482.33","6,901.42","7,295.32","8,023.78","8,471.64","8,532.80","9,004.04","9,986.10","9,933.94","10,799.10","12,277.59","13,067.19","14,367.62",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"65,986.25","67,351.03","65,895.00","72,703.00","85,800.00","105,415.00","130,334.00","170,281.00","245,836.00","332,060.00","379,135.00","515,079.00","747,327.00","866,921.00","1,060,830.00","1,297,960.00","1,568,097.45","1,832,785.96","2,200,120.59","2,690,751.35","3,374,349.17","4,341,390.00",...
Euro Area,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"5,741,000.98","5,984,797.59","6,129,357.16","6,379,579.65","6,671,446.56","7,022,525.56","7,351,794.99","7,600,741.85","7,820,334.24","8,153,458.13","8,444,524.07","8,893,188.02","9,386,833.19","9,620,164.20","9,272,325.40","9,533,536.53","9,797,740.15","9,837,015.08","9,935,971.70","10,169,843.89","10,523,622.53","10,816,813.40","11,224,918.04","11,600,154.44","11,987,140.70","11,465,225.58","12,359,895.34","13,360,337.39"
"Fiji, Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,983.73,"1,056.04","1,113.40","1,142.24","1,275.26","1,316.45","1,461.70","1,465.20","1,587.60","1,754.30","1,980.04","2,042.02","2,303.21","2,522.51","2,673.12","2,770.92","2,987.24","3,017.57","3,284.50","3,814.11","3,572.26","3,761.99","4,009.16","4,361.17","4,693.09","5,040.01","5,325.68","5,440.08","5,614.90","5,614.08","6,024.44","6,768.49","7,109.51","7,715.73","9,167.00","9,822.10","10,327.30","11,065.00","11,650.50","11,842.60","9,709.81","8,895.93",...
Finland,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"33,657.00","38,067.00","42,803.00","47,752.00","53,460.00","58,245.00","62,693.00","67,716.00","76,723.00","85,891.00","90,959.00","86,899.00","84,782.00","85,708.00","90,749.00","98,549.00","102,083.00","110,807.00","120,474.00","126,916.00","136,442.00","144,628.00","148,486.00","151,749.00","158,758.00","164,687.00","172,897.00","187,072.00","194,265.00","181,747.00","188,143.00","197,998.00","201,037.00","204,321.00","206,897.00","211,385.00","217,518.00","226,301.00","233,462.00","239,858.00","238,038.00","250,923.00","268,645.00"
France,"15,513.00","19,542.00","22,771.00","23,616.00","25,082.00","26,958.00","29,714.00","33,545.00","38,729.00","42,263.00","46,834.00","50,775.00","56,906.00","63,794.00","70,755.00","76,422.00","82,826.00","89,545.00","97,683.00","112,366.00","125,698.00","140,192.00","156,487.00","179,495.00","209,368.00","235,876.00","272,612.00","306,807.00","348,616.00","398,210.00","451,770.00","509,985.00","585,989.00","650,512.00","707,030.00","757,689.00","814,596.00","855,983.00","925,215.00","997,121.00","1,053,546.00","1,091,705.00","1,130,983.00","1,142,119.00","1,179,867.00","1,218,273.00","1,252,266.00","1,292,777.00","1,351,896.00","1,400,999.00","1,478,585.00","1,538,200.00","1,587,829.00","1,630,666.00","1,704,019.00","1,765,905.00","1,848,151.00","1,941,360.00","1,992,380.00","1,936,422.00","1,995,289.00","2,058,369.00","2,088,804.00","2,117,189.00","2,149,765.00","2,198,432.00","2,234,129.00","2,297,242.00","2,363,306.00","2,437,635.00","2,317,832.00","2,502,118.00","2,639,092.00"
Gabon,...,...,...,...,...,...,...,...,...,...,...,...,...,"150,842.49","166,694.29","182,739.19","202,800.87","217,969.41","235,081.81","257,117.04","282,221.64","307,759.60","345,083.47","392,436.24","468,798.63","639,335.94","811,454.90","732,609.16","572,496.88","684,405.64","963,205.06","1,117,083.59","1,266,063.56","1,405,672.39","1,550,073.28","1,678,287.64","1,693,196.28","1,111,759.07","1,214,948.20","1,422,220.98","1,725,761.03","1,623,126.71","1,576,333.79","1,630,196.60","2,477,827.70","2,635,848.70","3,101,850.40","3,310,890.92","2,816,669.29","3,057,337.44","3,842,277.68","3,679,028.00","3,701,273.00","3,776,236.00","4,097,532.00","4,989,260.00","5,309,448.00","5,961,579.00","6,944,822.00","5,738,118.53","7,111,476.56","8,581,582.50","8,766,489.23","8,690,517.45","8,988,325.16","8,503,444.93","8,310,617.85","8,669,067.78","9,368,905.47","9,886,926.41","8,816,137.02","11,219,038.04","13,650,510.04"
"Gambia, The",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"29,870.57","28,499.21","29,190.92","30,850.48","34,788.00","39,205.28","44,446.26","41,075.20","45,233.95","50,465.77","50,451.75","56,798.41","64,226.95","68,793.99","77,200.49","94,096.25","94,165.27","106,394.26",...
Georgia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"3,868.48","4,554.93","5,022.10","5,668.70","6,043.06","6,674.00","7,456.03","8,564.09","9,824.30","11,620.94","13,789.91","16,993.78","19,074.85","17,985.95","21,821.57","25,478.72","27,227.33","28,593.05","31,124.10","33,935.02","35,836.02","40,761.66","44,599.34","49,252.65","49,266.74","60,003.32","71,754.20"
Germany,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,585,800.00","1,702,060.00","1,750,890.00","1,829,550.00","1,894,610.00","1,921,380.00","1,961,150.00","2,014,420.00","2,059,480.00","2,109,090.00","2,172,540.00","2,198,120.00","2,211,570.00","2,262,520.00","2,288,310.00","2,385,080.00","2,499,550.00","2,546,490.00","2,445,730.00","2,564,400.00","2,693,560.00","2,745,310.00","2,811,350.00","2,927,430.00","3,026,180.00","3,134,740.00","3,267,160.00","3,365,450.00","3,474,110.00","3,403,730.00","3,617,450.00","3,876,810.00"
Ghana,0.05,0.05,0.06,0.05,0.06,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"62,002.00","81,412.00","102,099.00","124,477.58","158,683.99","183,525.64","219,594.60","262,797.97","308,587.40","356,544.27","391,940.73","461,694.94","610,222.29"
Greece,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"93,063.60","103,036.64","114,712.18","125,262.55","133,788.73","141,247.28","152,193.84","163,460.76","178,904.90","193,715.82","199,242.31","217,861.57","232,694.59","241,990.39","237,534.18","224,124.03","203,308.22","188,380.64","179,884.38","177,235.98","176,368.86","174,494.18","176,903.37","179,557.68","183,347.42","165,015.74","181,500.37","206,620.39"
Grenada,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,404.12","1,405.20","1,458.91","1,595.75","1,617.62","1,877.50","1,886.49","2,048.45","2,230.14","2,082.45","2,081.74","2,102.37","2,159.68","2,274.94","2,461.21","2,691.92","2,866.40","3,042.58","3,153.71","3,211.78","2,777.27","3,031.61",...
Guatemala,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"416,383.22","447,326.33","476,022.82","502,001.70","526,507.41","551,368.08","593,972.02","600,089.44","665,567.94","736,108.98"
Guinea,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"21,358,668.08","25,986,873.40","31,671,590.72","31,863,036.68","38,855,754.55","44,463,458.67","52,559,202.04","56,977,996.32","60,682,524.82","64,686,590.26","75,495,217.01","92,195,038.73","100,739,496.16","122,641,000.00","134,946,000.00","157,085,010.00",...
Guinea-Bissau,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"407,463.80","348,681.64","356,714.99","277,936.77","302,195.25","323,807.10","321,039.80","307,000.30","337,327.27","331,626.33","360,489.21","424,889.76","418,640.08","465,162.29","545,269.68","535,783.63","548,071.93","560,538.36","681,303.00","737,838.00","853,553.00","863,238.00","863,238.00","855,601.16","843,938.86",...
Guyana,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"476,412.00","552,603.00","616,029.00","645,637.00","699,064.00","753,107.00","830,326.00","856,042.00","852,152.00","883,787.00","925,677.00","980,498.00","994,472.00","1,078,729.00","1,140,757.00","1,676,624.00","3,068,784.00"
Haiti,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,770.14","2,979.95","3,111.88","3,371.72","3,203.98","3,349.31","3,527.05","3,597.95","4,196.57","4,372.49","5,621.97","6,837.73","8,072.29","9,369.53","10,025.47","10,151.32","11,361.11","13,315.87","14,659.00","15,246.25","16,364.24","18,132.52","20,135.01","22,371.97","11,022.22","7,247.58","6,699.71","8,527.76","9,193.12","8,975.56","13,574.23","45,088.36","70,187.23","80,385.76","93,067.37","108,561.36","119,343.92","133,691.93","150,884.95","164,056.10","195,267.38","239,564.08","280,063.58","311,615.04","356,149.44","401,233.92","471,795.55","478,044.25","524,124.00","569,992.50","642,673.67","675,571.52","720,255.46","844,479.03","986,919.15","1,076,412.65","1,244,013.99","1,449,887.87","1,699,208.00","2,168,222.88"
Honduras,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"106,654.20","118,415.70","129,166.60","142,817.80","161,507.50","183,747.40","206,288.00","233,567.20","262,416.90","275,632.20","299,286.00","335,027.80","361,348.50","376,539.40","414,633.50","460,405.20","495,921.90","543,403.00","575,284.90","614,917.70","585,733.60","684,203.80","776,635.60"
Hungary,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"5,836,483.00","7,122,305.00","8,834,560.00","10,442,818.00","11,637,546.00","13,324,052.00","15,398,700.00","17,433,859.00","19,130,011.00","21,110,059.00","22,594,966.00","24,345,409.00","25,741,898.00","27,249,944.00","26,520,776.00","27,485,093.00","28,538,202.00","28,996,631.00","30,351,903.00","32,804,707.00","34,965,213.00","36,206,666.00","39,274,757.00","43,386,710.00","47,674,187.00","48,425,421.00","55,198,927.00","66,075,190.00"
Iceland,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"460,839.96","493,834.47","536,722.36","603,407.61","649,719.11","709,561.32","802,276.66","854,139.93","876,732.71","970,421.49","1,061,428.26","1,225,716.06","1,386,951.25","1,589,625.14","1,626,390.73","1,680,966.94","1,765,008.67","1,845,159.75","1,970,145.72","2,086,359.61","2,310,847.79","2,512,054.82","2,641,959.40","2,844,054.75","3,026,099.91","2,920,473.20","3,250,399.27","3,796,566.85"
India,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"34,958,200.00","40,486,400.00","47,141,900.00","54,561,900.00","59,895,400.00","72,938,200.00","85,651,700.00","96,370,500.00","108,981,300.00","122,141,700.00","133,907,300.00","149,647,100.00","166,281,300.00","186,830,700.00","197,561,400.00","192,205,900.00","227,242,900.00","265,637,600.00"
Indonesia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"5,414,841,900.00","6,011,375,000.00","6,864,133,100.00","7,831,726,000.00","8,615,704,500.00","9,546,134,000.00","10,569,705,300.00","11,526,332,800.00","12,401,728,500.00","13,589,825,700.00","14,838,756,000.00","15,832,657,200.00","15,443,353,200.00","16,976,690,800.00","19,588,445,600.00"
"Iran, Islamic Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"7,474,935,494.12","10,130,403,784.01","12,135,344,927.77","12,013,495,929.62","13,525,217,781.88","16,165,015,456.27","20,462,465,062.36","26,288,891,617.31","35,215,143,879.57","60,074,648,130.75",...
Iraq,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"16,959,343.00","36,382,338.90","49,904,215.70","36,527,727.40","37,123,490.40","29,989,132.80","53,235,358.70","73,533,598.60","95,587,954.80","111,455,813.40","157,026,061.60","130,642,187.00","162,064,565.50","217,327,107.40","254,225,490.70","273,587,529.20","273,603,020.37","207,121,627.16","198,039,639.82","227,348,973.01","268,533,712.26","276,610,870.77","201,668,288.00","299,449,695.36","392,027,726.99"
Ireland,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"54,758.74","60,147.57","69,400.73","80,430.81","92,790.53","108,495.29","122,089.17","135,997.56","145,576.43","156,260.29","170,306.77","184,916.24","197,069.40","187,282.98","169,519.71","167,391.40","171,823.51","175,218.48","179,285.63","195,469.88","263,506.83","269,724.84","298,528.31","327,441.37","356,357.39","375,249.65","434,069.74","506,282.42"
Israel,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"317,110.40","366,619.40","411,328.90","457,372.50","501,594.50","555,448.90","566,175.20","592,487.20","598,020.60","627,027.80","660,155.90","707,237.40","756,172.10","791,341.70","835,431.20","893,288.60","956,813.60","1,013,796.60","1,074,690.10","1,123,796.50","1,176,638.10","1,232,669.50","1,285,863.50","1,347,000.70","1,424,572.40","1,417,343.90","1,581,860.40","1,763,805.80"
Italy,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"988,243.20","1,045,872.70","1,092,357.30","1,138,856.10","1,175,149.50","1,241,512.90","1,304,136.80","1,350,258.90","1,394,693.20","1,452,319.00","1,493,635.30","1,552,686.80","1,614,839.80","1,637,699.40","1,577,255.90","1,611,279.40","1,648,755.80","1,624,358.70","1,612,751.30","1,627,405.60","1,655,355.00","1,695,786.80","1,736,592.80","1,771,391.20","1,796,648.50","1,661,239.80","1,822,344.50","1,946,479.10"
